No,URI,Country,Official,PlatformType
1,http://data.belgium.be/datasets?page=,BE,Y,html
2,http://data.gov.uk/,UK,Y,ckan
3,http://www.dati.gov.it/catalog/,IT,Y,ckan
4,http://www.daten.rlp.de/,DE,Y,ckan
5,http://opendata.aragon.es/catalogo/,ES,Y,ckan
6,http://rotterdamopendata.nl/,NL,Y,ckan
7,http://data.gov.ie/,IE,Y,ckan
8,http://data.amsterdamopendata.nl/,NL,N,ckan
9,https://www.data.gv.at/katalog/,AT,Y,ckan
10,http://www.opendata.admin.ch/en/,CH,Y,ckan
11,http://data.gov.sk/,SK,Y,ckan
12,https://www.govdata.de/ckan/,DE,Y,ckan
13,http://data.glasgow.gov.uk/,UK,Y,ckan
14,http://opengov.es/,ES,N,ckan
15,http://oppnadata.se/,SE,Y,ckan
16,http://opendata.hu/,HU,N,ckan
17,http://cz.ckan.net/en/,CZ,N,ckan
18,https://offenedaten.de/,DE,N,ckan
19,http://ckan.data.graz.gv.at/,AT,Y,ckan
20,http://ckan.data.linz.gv.at/,AT,Y,ckan
21,http://datosabiertos.malaga.eu/,ES,Y,ckan
22,http://www.nosdonnees.fr/,FR,N,ckan
23,http://dati.trentino.it/,IT,Y,ckan
24,http://dati.veneto.it/,IT,Y,ckan
25,http://data.opendataforum.info/,,Y,ckan
26,http://portal.openbelgium.be/,BE,N,ckan
27,http://www.opendata-hro.de/,DE,Y,ckan
28,http://data.kk.dk/,DK,Y,ckan
29,http://www.odaa.dk/,DK,Y,ckan
30,http://ckan.opendatacanarias.es/,ES,Y,ckan
31,http://publicdata.eu/,International,N,ckan
32,http://datos.gob.es/catalogo?title=&order=&page=,ES,Y,html
33,http://it.ckan.net/,IT,N,ckan
34,http://rs.ckan.net/,RS,N,ckan
35,http://datahub.io/,International,N,ckan
36,http://ie.ckan.net/,IE,N,ckan
37,http://data.gov.ro/,RO,Y,ckan
38,http://www.juntadeandalucia.es/datosabiertos/portal/catalogo.html?pagina=,ES,Y,html
39,http://www.hri.fi/en/,FI,Y,ckan
40,http://opendata.euskadi.net/w79-resformx/eu/?r01kSrchSrcId=contenidos.inter&r01kTgtPg=,,Y,html
41,http://daten.berlin.de/datensaetze?title=&&field_license_tid=All&field_publisher_tid=All&field_geo_granularity_tid=All&field_temporal_granularity_tid=All&field_geo_coverage_tid=All&field_tags_tid=All&page=,DE,Y,html
42,http://aperto.comune.torino.it/?q=dataset&page=,IT,Y,html
43,http://transparencia.gijon.es/pag/,ES,Y,html
44,http://data.digitaliser.dk/alle?p-1436223928=,DK,Y,html
45,http://abertos.xunta.es/busca-de-datos?p_p_id=dataset_portlet&p_p_lifecycle=0&p_p_state=normal&p_p_col_id=column-1&p_p_col_count=1&_dataset_portlet_content=%2Fopencms%2FOpenData%2FDataSet%2Flistado_dataset_catalogo.html%3Fpage%3D,ES,Y,html
46,http://opendata.service-bw.de/Seiten/offenedaten.aspx?Paged=TRUE&p_Title=Haushaltsdaten&p_Bezugsort=Baden-WÃ¼rttemberg&p_ID=79&PageFirstRow=,DE,Y,html
47,http://data.bris.ac.uk/data/,UK,U,ckan
48,http://www.data.rennes-metropole.fr/les-donnees/catalogue/c9f34928afb82a48505190084627f81b/?tx_icsopendatastore_pi1[page]=,FR,Y,html
49,http://data.london.gov.uk,UK,Y,ckan
50,http://opendata.provincia.lucca.it/SpodCkanApi/,IT,Y,ckan
51,http://opendata.bordeaux.fr/recherche/results?page=,FR,Y,html
52,open-data.europa.eu/en/data/,,Y,html
53,http://dadesobertes.gencat.cat/ca/cercador/cerca-cataleg/index.html?etiquetes=&formats=&organismes=&q=&first=,ES,Y,html
54,http://www.opendata.provincia.roma.it/,IT,Y,ckan
55,http://data.upf.edu/en/,,U,ckan
56,https://data.overheid.nl/,,Y,ckan
57,http://opendata.ayto-caceres.es/,,Y,ckan
58,http://opendata.opennorth.se/,SE,Y,ckan
59,http://opendata.cmt.es,ES,Y,ckan
60,http://datos.alcobendas.org/,,Y,ckan
61,http://dati.venezia.it/?q=cerca_dataset&page=,IT,Y,html
62,https://open.wien.gv.at/site/datenkatalog/?nr=,AT,Y,html
63,http://data.opendataportal.at/,AT,N,ckan
64,http://opendata.comune.bari.it/,IT,Y,ckan
65,http://data.ktn.gv.at/category/all/page/,,Y,html
66,http://datos.madrid.es/portal/site/egob/menuitem.9e1e2f6404558187cf35cf3584f1a5a0/?vgnextoid=374512b9ace9f310VgnVCM100000171f5a0aRCRD&page=,,Y,html
67,http://opendata.montpelliernumerique.fr/Les-donnees?pagination_rubdata&debut_rubdata=,,Y,html
68,http://www.gobiernoabierto.navarra.es/es/open-data/datos/catalogo?clave=&tema=All&cat=All&format=All&page=,,Y,html
69,http://suche.transparenz.hamburg.de/,DE,Y,ckan
70,http://data.gov.md/ckan/,,Y,
71,http://opendata.antwerpen.be,BE,Y,
72,http://dati.toscana.it/,IT,Y,
73,http://www.datiopen.it/SpodCkanApi/,,N,
74,http://www.datosabiertos.jcyl.es,ES,Y,
75,http://www.opendatamalta.org/ckan/,,N,
76,http://data.steiermark.at/,AT,Y,
77,http://data.gent.be/,BE,Y,
78,http://www.daten.bremen.de/sixcms/detail.php?gsid=bremen02.c.730.de,DE,Y,
79,http://www.caib.es/caibdatafront/,ES,Y,
80,http://www.opengov.se/data,SE,N,
81,http://data.southampton.ac.uk/,UK,U,
82,http://www.opendatanottingham.org.uk/,UK,Y,
83,http://www3.hants.gov.uk/opendata/,UK,Y,
84,https://www.opengov-muenchen.de/,DE,Y,
85,http://geodata.gov.gr/geodata/,GR,Y,
86,http://data.noe.gv.at/,AT,Y,
87,http://www.dipusevilla.es/datosabiertos/,ES,Y,
88,https://datos.upo.gob.es/,ES,Y,
89,http://datos.santander.es/,ES,Y,
90,http://gobiernoabierto.gobex.es/,ES,Y,
91,http://www.larioja.org/npRioja/default/index.jsp?idtab=758984,,Y,
92,http://dkh.deusto.es,ES,Y,
93,http://dati.comune.bologna.it/,IT,Y,
94,https://opendata.bristol.gov.uk/,UK,Y,
95,http://dati.comune.roma.it/,IT,Y,
96,https://www.dati.lombardia.it/,IT,Y,
97,https://gavaobert.gavaciutat.cat/,ES,Y,
98,http://www.datalocale.fr/,FR,Y,
99,https://open.nrw/,,Y,
100,http://data.loire-atlantique.fr/,FR,Y,
101,http://data.nantes.fr/,FR,Y,
102,http://data.gov.hr/,HR,Y,
103,http://opendata.tarragona.cat,,Y,
104,http://www.datagm.org.uk/,,Y,
105,http://data.wu.ac.at/,AT,U,
106,http://opendatagortynia.gr/,GR,Y,
107,http://opendata.cnmc.es/,ES,Y,
108,http://opendata.awt.be/,BE,Y,
109,https://data.eindhoven.nl/,NL,Y,
110,http://opendata.bcn.cat,,Y,
111,http://opendata.cloudbcn.cat,,Y,
112,http://opendata.cornella.cat,,Y,
113,http://opendata.viladecans.cat,,Y,
114,http://transparencia.castillalamancha.es,,Y,
115,http://annuario.comune.fi.it/,,Y,
116,https://opendata.government.bg,,Y,
117,http://data.fingal.ie/ViewDataSets/,,Y,
118,http://data.visitprovence.com/,,Y,
119,http://opendata.terrassa.cat/VW_Principal.aspx,,Y,
120,http://www.dados.gov.pt,,Y,
121,http://opendata.elprat.cat/elprat/es/catalog,,Y,
122,http://www.valencia.es,,Y,
123,http://opendata.enschede.nl,,Y,
124,http://apigobiernoabiertocatalog.valencia.es/,,Y,
125,"
http://data.enel.com/dataresults",,N,
126,http://www.leedsdatamill.org/,UK,Y,
127,https://www.tirol.gv.at/,AT,Y,
128,http://opendata.santfeliu.cat/,ES,Y,
129,https://sede.minetur.gob.es/,ES,Y,
130,http://opendata.badalona.cat/,ES,Y,
131,http://observatori.santboi.cat,ES,Y,
132,http://www.lemans.fr,FR,Y,
133,https://data.overheid.nl/data/,NL,Y,
134,http://www.opendata.larochelle.fr/,FR,Y,
135,http://pl.ckan.net/,,,
136,https://danepubliczne.gov.pl/,,,
137,http://data.zagreb.hr/,HR,,
138,http://www.dataset.puglia.it/,IT,,
139,https://www.avoindata.fi/data/fi/,FI,,
140,http://opendatakosovo.org,,,
141,http://www.mulhouse.fr/,,,
142,http://www.opendatahub.it/,IT,,
143,http://dati.comune.milano.it,IT,,
144,http://www.ciemat.es/,ES,,
145,http://data.groningen.nl/,NL,,
146,http://www.statistiques.public.lu,,,
147,http://www.bilbao.net/,ES,,
148,http://dublinked.com,,,
149,https://data.bathhacked.org/,UK,,
150,https://data.agen.fr/,,,
151,http://data.enseignementsup-recherche.gouv.fr/,,,
152,https://ressources.data.sncf.com/,,,
153,http://data.ratp.fr/,,,
154,https://dev.datos.ua.es/,,,
155,http://data.corse.fr/,,,
156,http://www.zaragoza.es/,,,
157,http://marinedata.scotland.gov.uk/~marine/,,,
158,http://data.mfcr.cz/,,,
159,http://opendata.bonn.de/,,,
160,http://data.gov.ua/,,,
161,http://opendata.paris.fr/,,,
162,https://data.toulouse-metropole.fr/,,,
163,http://opendata.cambridgeshireinsight.org.uk/,,,
164,http://data.enseignementsup-recherche.gouv.fr/,,,
165,http://data.issy.com/,,,
166,http://opingogn.is/,,,
167,http://data.salzburgerland.com/,,,
168,https://data.explore.star.fr/,,,
169,https://opendata.riik.ee/,,,
170,http://en.openei.org/datasets/,,,
171,http://data.gov.gr/,GR,Y,
172,http://www.edinburghopendata.info/,,,
173,https://www.data.gouv.fr,FR,Y,ckan
